date,latitude,longitude,name,d2m,t2m,swvl1,jumlah_hotspot,frp
2023-07-02,4.300000000000008,97.2999999999998,Aceh,13.9735,21.92016000000001,0.3989803,0,0.0
2023-09-04,4.500000000000007,96.69999999999985,Aceh,18.54504000000003,20.09295000000003,0.4248461,0,0.0
2024-02-12,3.6000000000000085,97.5999999999998,Aceh,15.51083,21.787930000000017,0.34007263,0,0.0
2024-05-09,4.500000000000007,96.39999999999986,Aceh,21.83828,26.58680000000004,0.41442436,0,0.0
2024-09-30,5.000000000000005,97.19999999999982,Aceh,24.26030000000003,27.42160000000001,0.43923077,0,0.0
2024-09-30,4.700000000000006,96.99999999999984,Aceh,18.399800000000027,21.11718000000002,0.44185966,0,0.0
2023-01-17,4.1000000000000085,97.19999999999982,Aceh,13.514250000000004,21.222830000000044,0.38744465,0,0.0
2023-03-26,4.600000000000007,95.99999999999989,Aceh,22.35510000000005,26.26670000000001,0.40669033,0,0.0
2023-01-16,5.400000000000004,95.59999999999992,Aceh,23.26812000000001,25.02236000000005,0.4238935,0,0.0
2023-02-17,4.400000000000008,95.89999999999988,Aceh,23.238580000000013,28.66937000000001,0.41291592,0,0.0
2023-03-11,5.200000000000005,96.99999999999984,Aceh,22.943050000000028,28.40582000000001,0.34184048,0,0.0
2024-09-12,3.200000000000008,97.3999999999998,Aceh,23.141350000000045,26.06460000000004,0.4060233,0,0.0
2023-01-02,5.300000000000004,95.99999999999989,Aceh,21.75848000000002,25.89240000000001,0.3887656,0,0.0
2023-07-13,4.500000000000007,96.49999999999986,Aceh,19.179070000000024,21.452230000000043,0.41381836,0,0.0
2023-06-25,4.600000000000007,96.69999999999985,Aceh,18.38467000000003,23.810900000000004,0.37586758,0,0.0
2023-01-10,4.300000000000008,96.89999999999984,Aceh,12.664150000000006,19.712980000000016,0.37337822,0,0.0
2024-08-05,4.1000000000000085,96.69999999999985,Aceh,20.27720000000005,26.996579999999994,0.4113486,0,0.0
2024-01-10,3.8000000000000087,97.19999999999982,Aceh,14.820030000000031,16.403800000000047,0.33651298,0,0.0
2023-05-18,3.7000000000000086,97.4999999999998,Aceh,16.33172000000002,19.547450000000023,0.3707297,0,0.0
2023-02-18,5.000000000000005,96.59999999999984,Aceh,22.359520000000032,24.28582,0.46811566,0,0.0
2023-08-29,4.300000000000008,97.19999999999982,Aceh,18.298760000000016,22.93664000000001,0.40345982,0,0.0
2023-09-09,4.200000000000008,96.09999999999988,Aceh,24.526820000000043,28.147760000000005,0.39793178,0,0.0
2024-06-29,3.6000000000000085,97.6999999999998,Aceh,22.070280000000025,24.787300000000016,0.4257856,0,0.0
2024-07-20,4.700000000000006,97.6999999999998,Aceh,23.25550000000004,31.69833,0.38953727,0,0.0
